RNAlength,MEAtime,MEAf,Zuktime,Zukf
71,3,0.511628,1,0.511628
72,3,0.615385,1,0.536585
72,3,0.651163,1,0.651163
72,3,0,1,0
73,3,0.714286,1,0.75
73,3,0.651163,1,0.651163
73,2,0.634146,1,0.634146
73,3,0.648649,1,0.564103
73,3,0,2,0
74,3,0.851064,1,0.851064
74,3,0.341463,2,0.333333
74,3,0.761905,1,0.926829
74,3,0.615385,1,0.615385
74,3,0.755556,1,0.755556
75,3,0.954545,1,0.954545
75,4,0,1,0
75,3,0.615385,1,0.536585
75,3,0.341463,1,0.325581
75,3,0.622222,1,0.608696
75,3,0.454545,1,0.454545
75,4,0.55814,1,0.545455
76,3,0.636364,1,0.622222
76,3,0.65,1,0.65
76,3,0.681818,1,0.681818
76,4,0.666667,1,0.666667
76,4,0.9,1,0.9
76,2,0.325581,1,0.325581
76,3,0.333333,1,0.292683
77,3,0.341463,2,0.341463
78,3,0.439024,1,0.439024
79,3,0.608696,1,0.608696
79,4,0.578947,0,0.55
80,4,0.26087,2,0.26087
81,4,0.734694,2,0.734694
82,3,0,2,0
84,3,0,2,0
86,5,0.971429,2,0.971429
88,4,0,2,0
92,5,0,2,0
92,4,0,2,0
94,3,0.892857,2,0.892857
94,4,0.888889,3,0.888889
96,5,0,2,0
96,7,0,2,0
97,5,0.875,3,0.892308
98,6,0.64,3,0.615385
98,7,0.470588,3,0.461538
101,5,0.746269,4,0.84507
120,8,0.230769,5,0.230769
120,9,0.294118,4,0.294118
136,13,0,7,0
139,12,0.641026,8,0.531646
140,10,0.266667,4,0.255319
141,13,0.682927,7,0.682927
141,13,0.682927,7,0.682927
142,13,0.682927,7,0.682927
142,11,0.675,7,0.738095
142,13,0.683544,7,0.705882
143,12,0.666667,8,0.666667
145,12,0.591549,8,0.591549
146,12,0.108108,10,0.108108
146,15,0,9,0
147,13,0.322581,8,0.322581
148,14,0.507937,10,0.492308
148,13,0.514286,8,0.441176
150,14,0.526316,9,0.526316
150,15,0.294118,10,0.277778
150,15,0.298507,10,0.28169
150,13,0.338983,8,0.338983
150,14,0.758621,8,0.45
152,13,0.285714,8,0.285714
152,14,0,9,0
152,14,0.526316,9,0.526316
152,14,0,7,0.473684
152,15,0,9,0
153,15,0.659794,8,0.653061
154,15,0.0277778,11,0.368421
154,14,0.57971,9,0.57971
155,12,0.804348,8,0.821053
156,15,0,10,0
156,15,0,10,0
159,15,0.691589,10,0.754717
162,14,0.647619,9,0.647619
175,16,0.107143,8,0.1
176,21,0.45,13,0.45
217,30,0.652482,20,0.643357
225,35,0,21,0.321429
228,34,0,22,0.327273
248,56,0.224299,30,0.110092
266,51,0.447368,34,0.556962
267,51,0.427481,35,0.414815
272,61,0.233577,40,0.251852
298,63,0.472727,40,0.517241
314,76,0.564103,50,0.658824
315,77,0.539877,49,0.760976
316,75,0.52381,52,0.645161
380,109,0,68,0.27907
408,132,0.302752,83,0.252336
